Pipeline Log - Timestamp: 1757290563
Stage,ItemID,Value,Timestamp
Stage1,0,3746,604014
Stage2,0,8.05699,604016
Stage1,1,7966,604018
Stage1,1,7966,604018
Stage2,1,8.17506,604018
Stage1,1,7966,604018
Stage2,1,8.17506,604018
Stage3,1,8.17506,604018 (VALID, latency=0.245435ms)
Stage1,2,9508,604023
Stage1,2,9508,604023
Stage2,2,9.99886,604023
Stage1,3,1835,604026
Stage1,3,1835,604026
Stage2,3,7.08539,604026
Stage1,4,7320,604033
Stage1,4,7320,604033
Stage2,4,8.17996,604033
Stage1,4,7320,604033
Stage2,4,8.17996,604033
Stage3,4,8.17996,604033 (VALID, latency=0.219154ms)
Stage1,5,7797,604046
Stage1,5,7797,604046
Stage2,5,9.58948,604046
Stage1,5,7797,604046
Stage2,5,9.58948,604046
Stage3,5,9.58948,604046 (VALID, latency=0.26706ms)
Stage1,6,5987,604051
Stage1,6,5987,604051
Stage2,6,8.60054,604051
Stage1,7,5969,604054
Stage1,7,5969,604054
Stage2,7,8.77517,604055
Stage1,8,1561,604061
Stage1,8,1561,604061
Stage2,8,7.49556,604061
Stage1,8,1561,604061
Stage2,8,7.49556,604061
Stage3,8,7.49556,604061 (VALID, latency=0.266531ms)
Stage1,9,4459,604068
Stage1,9,4459,604068
Stage2,9,9.03505,604069
Stage1,9,4459,604068
Stage2,9,9.03505,604069
Stage3,9,9.03505,604069 (VALID, latency=0.337167ms)
Stage1,10,1560,604077
Stage1,10,1560,604077
Stage2,10,7.50396,604077
Stage1,10,1560,604077
Stage2,10,7.50396,604077
Stage3,10,7.50396,604077 (VALID, latency=0.397555ms)
Stage1,11,1000,604081
Stage1,11,1000,604081
Stage2,11,6.41639,604081
Stage1,12,581,604084
Stage1,12,581,604084
Stage2,12,5.95637,604085
Stage1,12,581,604084
Stage2,12,5.95637,604085
Stage3,12,5.95637,604085 (VALID, latency=0.183047ms)
Stage1,13,4593,604088
Stage1,13,4593,604088
Stage2,13,9.4024,604088
Stage1,14,8662,604090
Stage1,14,8662,604090
Stage2,14,8.22595,604091
Stage1,15,3338,604094
Stage1,15,3338,604094
Stage2,15,9.05773,604094
Stage1,16,6012,604097
Stage1,16,6012,604097
Stage2,16,8.38687,604097
Stage1,16,6012,604097
Stage2,16,8.38687,604097
Stage3,16,8.38687,604097 (VALID, latency=0.345139ms)
Stage1,17,1429,604101
Stage1,17,1429,604101
Stage2,17,8.24099,604101
Stage1,18,7081,604104
Stage1,18,7081,604104
Stage2,18,9.88105,604104
Stage1,19,6509,604107
Stage1,19,6509,604107
Stage2,19,9.58259,604107
Stage1,20,206,604110
Stage1,20,206,604110
Stage2,20,6.17169,604110
Stage1,21,565,604113
Stage1,21,565,604113
Stage2,21,5.83062,604113
Stage1,22,9700,604116
Stage1,22,9700,604116
Stage2,22,9.62442,604117
Stage1,23,7220,604120
Stage1,23,7220,604120
Stage2,23,9.02331,604120
Stage1,24,8325,604122
Stage1,24,8325,604122
Stage2,24,10.0081,604123
Stage1,24,8325,604122
Stage2,24,10.0081,604123
